"iteration","Bx","By"
662,0.3787512332,-0.5509298178
663,0.4228267283,-0.5597183976
664,0.393728288,-0.5495778641
665,0.3995009216,-0.5706927692
666,0.4238118711,-0.5700262537
667,0.4080447266,-0.5625823136
668,0.4011315056,-0.5476897695
669,0.4253641236,-0.5794436269
670,0.4097504155,-0.5470274091
671,0.3991004823,-0.5518969901
672,0.403252016,-0.5354356151
673,0.4151921617,-0.5252192996
674,0.4381196922,-0.5545217324
675,0.4388235764,-0.5428318862
676,0.3937614097,-0.5210562533
677,0.4184736414,-0.49511017
678,0.422469024,-0.508727577
679,0.4014056693,-0.531589672
680,0.4374384261,-0.5575373507
681,0.4136421895,-0.5246508013
682,0.4382933387,-0.5193965514
683,0.4436739401,-0.5325309289
684,0.4219419927,-0.5118075996
685,0.4360405167,-0.5160935341
686,0.4532011193,-0.5174815858
687,0.4678496541,-0.5262319564
688,0.4600718911,-0.5218129374
689,0.4575030996,-0.4921894565
690,0.4208417462,-0.5402539687
691,0.4110265321,-0.5555726534
692,0.4464346878,-0.5586707845
693,0.4355170441,-0.5351976852
694,0.4220929863,-0.5478274625
695,0.4450198528,-0.5487805743
696,0.4341513967,-0.547370439
697,0.4325270782,-0.5606537182
698,0.4441050409,-0.5596862636
699,0.4310877366,-0.5469840793
700,0.4229364365,-0.5636735787
701,0.4291555059,-0.5541371955
702,0.4362762652,-0.5463614391
703,0.4466118876,-0.5500565476
704,0.4564866923,-0.5653147064
705,0.4593087535,-0.5696182025
706,0.4524767021,-0.5651279306
707,0.4257975774,-0.5485317354
708,0.4416921176,-0.5652086019
709,0.4471745235,-0.5540564854
710,0.4531583203,-0.5312522462
711,0.4512350612,-0.5563212587
712,0.4788645318,-0.5664109521
713,0.4705966945,-0.5715517178
714,0.4577452624,-0.5611797006
715,0.4705504503,-0.5598117809
716,0.4358163348,-0.5451997301
717,0.4512697276,-0.5424642261
718,0.4491413976,-0.5487266518
719,0.4613303291,-0.5596895284
720,0.484556707,-0.5479891784
721,0.4341692501,-0.5346983676
722,0.4508920841,-0.5565197764
723,0.4426861702,-0.5641555558
724,0.4576668483,-0.5735329621
725,0.455101108,-0.5423056715
726,0.4716196074,-0.5591111416
727,0.4485837922,-0.5887791961
728,0.4473711835,-0.5667373725
729,0.46274757,-0.562139097
730,0.4676065462,-0.5849988813
731,0.4652753733,-0.5662119869
732,0.4336474436,-0.5497138861
733,0.4555359771,-0.5512407107
734,0.442764393,-0.5609112002
735,0.4724098486,-0.5599634398
736,0.4629924017,-0.5155239574
737,0.4490167783,-0.5268777354
738,0.4601762342,-0.5565568774
739,0.4779823742,-0.5518742282
740,0.4660110829,-0.5267657654
741,0.4885653081,-0.5237819049
742,0.4813183445,-0.5418494269
743,0.4477430335,-0.537979572
744,0.4790106885,-0.5492165984
745,0.4443377279,-0.5323336632
746,0.4604671081,-0.5527495207
747,0.4634025947,-0.5197602756
748,0.5134208162,-0.5520463525
749,0.4806190098,-0.538336708
750,0.4602154633,-0.525759363
751,0.4855666538,-0.5352671095
752,0.4694054744,-0.5326364244
753,0.4769475002,-0.5244013326
754,0.4615835103,-0.5341275842
755,0.4566922744,-0.5390636999
756,0.4424651825,-0.5304315086
757,0.4110798085,-0.4979361569
758,0.4696048106,-0.5281248643
759,0.4588847135,-0.5108873688
760,0.4614130781,-0.501375341
761,0.4623318042,-0.4937155138
762,0.4605926824,-0.4947381302
763,0.4842031433,-0.4925655313
764,0.439196977,-0.4632365062
765,0.4572425247,-0.4663031843
766,0.4586487692,-0.4713368855
767,0.4884156278,-0.4968774037
768,0.4719338905,-0.4920607956
769,0.4503991701,-0.4649030936
770,0.466244204,-0.4773472187
771,0.4727411077,-0.4697979075
772,0.4831411566,-0.4653281723
773,0.4634504507,-0.4539387843
774,0.4794927903,-0.4527538883
775,0.4935882216,-0.4486707364
776,0.4657781999,-0.4439363523
777,0.4760544758,-0.4599140912
778,0.4912518976,-0.4484584651
779,0.4802298967,-0.4764396458
780,0.4734736443,-0.4528236895
781,0.4883001987,-0.4682160707
782,0.5109758462,-0.4446568294
783,0.4734335065,-0.4430748454
784,0.503455571,-0.4536517331
785,0.5095596218,-0.475528841
786,0.4863707473,-0.470124739
787,0.4949237371,-0.4870887177
788,0.4640960213,-0.4821537648
789,0.4913525129,-0.4676764512
790,0.4997785704,-0.5024941616
791,0.5007815657,-0.4793553221
792,0.4964073591,-0.4792266214
793,0.5011025245,-0.4988902151
794,0.4831749325,-0.4692079522
795,0.5015490061,-0.4764729881
796,0.4893089776,-0.4798442915
797,0.4919443192,-0.5003646907
798,0.5036212394,-0.4898784836
799,0.4812851423,-0.5067102016
800,0.4772379325,-0.473021625
801,0.463822651,-0.489080387
802,0.501770449,-0.5152493445
803,0.4983668986,-0.4966102155
804,0.5009562181,-0.4994519763
805,0.5030634404,-0.5095024372
806,0.5011621325,-0.5004426865
807,0.4862362698,-0.4964817019
808,0.4844021156,-0.4982802291
809,0.50617923,-0.5191747771
810,0.4922030168,-0.5020078889
811,0.4833896671,-0.4980193597
812,0.4709889146,-0.5148207751
813,0.4874738661,-0.4845210578
814,0.4612428089,-0.4956096479
815,0.455979469,-0.479851266
816,0.4814005331,-0.5007873165
817,0.4573837122,-0.4927832919
818,0.4663835507,-0.4742609019
819,0.482098877,-0.4904070761
820,0.4797620249,-0.5121687017
821,0.4649045231,-0.517507516
822,0.4620844456,-0.5190979002
823,0.4625427041,-0.4923442645
824,0.4731600014,-0.5036850394
825,0.4904014089,-0.4697618293
826,0.5086865992,-0.498238187
827,0.5057073632,-0.4863982657
828,0.4908874785,-0.4754797095
